Amiibo Update

227f|campground paper **NEW**
2280|Nook's Homes paper **NEW**
2281|Nintendo paper **NEW**

22df|good-luck charm **NEW**

23d1|basic wall **NEW**
23d2|hallway wall **NEW**
23d3|white tile wall **NEW**
23d4|stadium wall **NEW**
23d5|train-window wall **NEW**
23d6|waiting-room wall **NEW**
23d7|steel-frame wall **NEW**
23d8|café-curtain wall **NEW**
23d9|white brick wall **NEW**
23da|bamboo-grove wall **NEW**
23db|rice-paddy wall **NEW**
23dc|magma-cavern wall **NEW**
23dd|ocean-horizon wall **NEW**
23de|Hello Kitty wall **NEW**
23df|My Melody wall **NEW**
23e0|Pompompurin wall **NEW**
23e1|Kiki and Lala wall **NEW**
23e2|Cinnamoroll wall **NEW**
23e3|Kerokerokeroppi wall **NEW**
23e4|Hyrule wall **NEW**
23e5|ink-splattered wall **NEW**
23e6|Inkopolis wall **NEW**
23e7|fruit-panel wall **NEW**
23e8|Fueki wall **NEW**
23e9|polka-dot wall **NEW**

246a|terrace rug **NEW**
246b|yellow flooring **NEW**
246c|monochrome floor **NEW**
246d|pink wood floor **NEW**
246e|natural wood floor **NEW**
246f|stone-tile floor **NEW**
2470|parquet floor **NEW**
2471|white tile floor **NEW**
2472|panel carpet floor **NEW**
2473|arched brick floor **NEW**
2474|flagstone floor **NEW**
2475|terra-cotta floor **NEW**
2476|tatami floor **NEW**
2477|herringbone floor **NEW**
2478|school-hall floor **NEW**
2479|water floor **NEW**
247a|pavement floor **NEW**
247b|lobby floor **NEW**
247c|field floor **NEW**
247d|galaxy floor **NEW**
247e|lava floor **NEW**
247f|oil-stained floor **NEW**
2480|fancy tile floor **NEW**
2481|block flooring **NEW**
2482|sandy-beach floor **NEW**
2483|dirt floor **NEW**
2484|wooden-deck floor **NEW**
2485|white wood floor **NEW**
2486|Hello Kitty floor **NEW**
2487|My Melody floor **NEW**
2488|Pompompurin floor **NEW**
2489|Kiki and Lala floor **NEW**
248a|Cinnamoroll floor **NEW**
248b|gray patterned floor **NEW**
248c|Zelda floor **NEW**
248d|ink-splattered floor **NEW**
248e|Inkopolis floor **NEW**
248f|fruit-panel floor **NEW**
2490|Fueki floor **NEW**
2491|gallery floor **NEW**
2492|observatory floor **NEW**

2659|men's recruit suit **NEW**
265a|women's recruit suit **NEW**
265b|stylish suit **NEW**
265c|polo shirt **NEW**
265d|women's office suit **NEW**
265e|blue nurse's uniform **NEW**
265f|flashy suit **NEW**
2660|sushi chef's outfit **NEW**
2661|comedian's outfit **NEW**
2662|rubber apron **NEW**
2663|frilly apron **NEW**
2664|Felyne outfit **NEW**
2665|HHA women's jacket **NEW**
2666|good-fortune clothes **NEW**
2667|Link outfit **NEW**
2668|Ganondorf outfit **NEW**
2669|Ganon outfit **NEW**
266a|Medli outfit **NEW**
266b|Epona outfit **NEW**
266c|Wolf Link outfit **NEW**
266d|new hero's outfit **NEW**
266e|black anchor tee **NEW**
266f|Cinnamoroll jacket **NEW**
2670|suspenders shirt **NEW**
2671|Hello Kitty outfit **NEW**
2672|My Melody outfit **NEW**
2673|Kiki and Lala outfit **NEW**
2674|Pompompurin outfit **NEW**
2675|Cinnamoroll outfit **NEW**
2676|Kerokerokeroppi top **NEW**
2677|HHA raincoat **NEW**
2678|Callie shirt **NEW**
2679|Marie shirt **NEW**
267a|Callie fashion top **NEW**
267b|high-spirits shirt **NEW**
267c|town-hall spring top **NEW**
267d|town-hall winter top **NEW**
267e|jacquard fleece **NEW**
2680|Sheik outfit **NEW**

26e4|blue ballet outfit **NEW**
26e5|musician's outfit **NEW**
26e6|Princess Zelda dress **NEW**
26e7|Marie dress **NEW**
26e8|Hello Kitty dress **NEW**
26e9|My Melody dress **NEW**
26ea|Kiki and Lala dress **NEW**
26eb|Pompompurin dress **NEW**
26ec|Flower Fairy dress **NEW**

2772|Ganondorf pants **NEW**
2773|green gingham shorts **NEW**
2774|Callie pants **NEW**
2775|high-spirits pants **NEW**
2776|Sheik pants **NEW**

279b|Callie tights **NEW**
279c|Marie tights **NEW**
279d|Kiki and Lala socks **NEW**
279e|red striped socks **NEW**

27dd|Callie shoes **NEW**
27de|Marie shoes **NEW**
27df|Hello Kitty shoes **NEW**
27e0|My Melody shoes **NEW**
27e1|Kiki and Lala shoes **NEW**
27e2|Pompompurin shoes **NEW**
27e3|Cinnamoroll shoes **NEW**
27e4|green loafers **NEW**
27e5|Flower Fairy boots **NEW**

280a|fruit-panel umbrella **NEW**

287e|Takoroka mesh **NEW**
287f|Hello Kitty hat **NEW**
2880|My Melody hat **NEW**
2881|Kiki and Lala pin **NEW**
2882|Cinnamoroll hat **NEW**
2883|Kerokerokeroppi pins **NEW**
2884|high-spirits hat **NEW**
2885|Celeste ribbon **NEW**
2886|driver's hat **NEW**

28e7|Link hat **NEW**
28e8|Ganondorf wig **NEW**
28e9|Sheik mask **NEW**
28ea|Zelda wig **NEW**
28eb|new hero wig **NEW**
28ec|Callie wig **NEW**
28ed|Marie wig **NEW**
28ee|pilot goggles **NEW**
28ef|studio headphones **NEW**
28f0|Flower Fairy wig **NEW**
28f1|Nabiru mask **NEW**
28f2|Pompompurin hat **NEW**
28f3|Lottie's bun **NEW**

2ed6|toy piano **NEW**
2ed7|exam table **NEW**
2ed8|office phone **NEW**
2ed9|desk bell **NEW**
2eda|wooden bucket **NEW**
2edb|coconut juice **NEW**
2edc|ramen cup **NEW**
2edd|firewood **NEW**
2ede|burger meal **NEW**
2edf|candelabra **NEW**
2ee0|metal box **NEW**
2ee1|standing sink **NEW**
2ee2|ring **NEW**
2ee3|air purifier **NEW**
2ee4|classic screen **NEW**
2ee5|sushi tray **NEW**
2ee6|synthesizer **NEW**
2ee7|toolbox **NEW**
2ee8|towel basket **NEW**
2ee9|hanging strap **NEW**
2eea|yarn basket **NEW**
2eeb|basic teacher's desk **NEW**
2eec|train seat **NEW**
2eed|whole pizza **NEW**
2eee|plant partition **NEW**
2eef|ramen **NEW**
2ef0|tart **NEW**
2ef1|fancy tea set **NEW**
2ef2|ringtoss **NEW**
2ef3|moss ball **NEW**
2ef4|hose reel **NEW**
2ef5|greenhouse box **NEW**
2ef6|tractor **NEW**
2ef7|wooden bear **NEW**
