Flowers
009f|red tulips
00a0|white tulips
00a1|yellow tulips
00a2|pink tulips
00a3|purple tulips
00a4|black tulips
00a5|orange tulips
00a6|white pansies
00a7|yellow pansies
00a8|red pansies
00a9|purple pansies
00aa|orange pansies
00ab|blue pansies
00ac|white cosmos
00ad|red cosmos
00ae|yellow cosmos
00af|pink cosmos
00b0|orange cosmos
00b1|black cosmos
00b2|red roses
00b3|white roses
00b4|yellow roses
00b5|pink roses
00b6|orange roses
00b7|purple roses
00b8|black roses
00b9|blue roses
00ba|gold roses
00bb|red carnations
00bc|pink carnations
00bd|white carnations
00be|white lilies
00bf|yellow lilies
00c0|red lilies
00c1|orange lilies
00c2|pink lilies
00c3|black lilies
00c4|purple violets
00c5|blue violets
00c6|white violets
00c7|yellow violets
00c8|Jacob's ladder
00c9|lucky clovers
00ca|dandelions
00cb|dandelion puffs
00cc|clovers (weed)
00cd|rafflesia

Wilted
00ce|red tulips (wilted)
00cf|white tulips (wilted)
00d0|yellow tulips (wilted)
00d1|pink tulips (wilted)
00d2|purple tulips (wilted)
00d3|black tulips (wilted)
00d4|orange tulips (wilted)
00d5|white pansies (wilted)
00d6|yellow pansies (wilted)
00d7|red pansies (wilted)
00d8|purple pansies (wilted)
00d9|orange pansies (wilted)
00da|blue pansies (wilted)
00db|white cosmos (wilted)
00dc|red cosmos (wilted)
00dd|yellow cosmos (wilted)
00de|pink cosmos (wilted)
00df|orange cosmos (wilted)
00e0|black cosmos (wilted)
00e1|red roses (wilted)
00e2|white roses (wilted)
00e3|yellow roses (wilted)
00e4|pink roses (wilted)
00e5|orange roses (wilted)
00e6|purple roses (wilted)
00e7|black roses (wilted)
00e8|blue roses (wilted)
00e9|gold roses (wilted)
00ea|red carnations (wilted)
00eb|pink carnations (wilted)
00ec|white carnations (wilted)
00ed|white lilies (wilted)
00ee|yellow lilies (wilted)
00ef|red lilies (wilted)
00f0|orange lilies (wilted)
00f1|pink lilies (wilted)
00f2|black lilies (wilted)
00f3|purple violets (wilted)
00f4|blue violets (wilted)
00f5|white violets (wilted)
00f6|yellow violets (wilted)
00f7|Jacob's ladder (wilted)
00f8|lucky clovers (wilted)
00f9|dandelions (wilted)
00fa|dandelion puffs (wilted)
00fb|clovers (weed) (wilted)
00fc|rafflesia (wilted)
